epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
37,1.031154,56.500,1.316199,53.750,0.00027790,23.255,75.287,26.087,47.826,41.176,0.000,0.733336,0.764898,0.831452,0.668755,0.714639,0.744596,0.707237
38,1.052945,56.167,1.271729,51.250,0.00027135,23.264,86.207,10.870,22.826,39.706,10.000,0.738257,0.772281,0.849863,0.657762,0.678148,0.797484,0.708026
39,1.038526,56.667,1.297911,56.500,0.00026406,23.314,81.034,32.609,43.478,42.647,5.000,0.749049,0.781505,0.850905,0.672623,0.716968,0.782247,0.722500
40,1.028594,57.167,1.294761,52.750,0.00025607,23.292,77.011,19.565,41.304,41.176,10.000,0.744814,0.776662,0.851617,0.655981,0.699428,0.783753,0.733289
41,1.035285,55.167,1.278887,54.750,0.00024742,23.273,78.161,34.783,42.391,41.176,0.000,0.740642,0.772807,0.847294,0.671027,0.693994,0.774185,0.716711
42,1.024863,56.000,1.307881,55.000,0.00023817,23.292,76.437,23.913,57.609,30.882,10.000,0.746501,0.777728,0.839284,0.676861,0.728226,0.774185,0.713947
43,1.000812,57.833,1.279046,53.750,0.00022837,23.249,80.460,21.739,32.609,48.529,10.000,0.739261,0.770861,0.843531,0.670720,0.708533,0.751285,0.722237
44,1.004339,59.167,1.310871,50.500,0.00021810,23.222,91.379,19.565,22.826,16.176,10.000,0.721416,0.758782,0.837707,0.656227,0.676666,0.762137,0.674342
45,1.002604,58.500,1.369100,53.500,0.00020740,23.268,72.989,28.261,34.783,61.765,0.000,0.735390,0.772042,0.846023,0.657762,0.703840,0.775248,0.694079
46,1.017118,57.750,1.362905,49.750,0.00019635,23.266,82.184,17.391,35.870,16.176,20.000,0.722840,0.752347,0.820161,0.640690,0.685383,0.757176,0.710789
47,1.014981,56.917,1.316807,57.750,0.00018502,23.246,76.437,32.609,57.609,44.118,0.000,0.749101,0.781944,0.845311,0.679256,0.726955,0.785170,0.708816
48,0.990639,58.417,1.375634,51.250,0.00017347,23.277,78.161,26.087,35.870,32.353,10.000,0.740655,0.771128,0.838648,0.664149,0.698511,0.784860,0.717105
49,0.992459,58.333,1.411054,50.750,0.00016177,23.274,83.908,17.391,21.739,39.706,10.000,0.736981,0.768001,0.835063,0.660526,0.709627,0.763244,0.716447
50,0.988854,59.417,1.314774,53.500,0.00015000,23.288,78.736,17.391,39.130,45.588,10.000,0.737379,0.776195,0.857873,0.664579,0.693005,0.780253,0.691184
51,0.982059,61.417,1.403078,52.250,0.00013823,23.301,79.310,28.261,35.870,33.824,10.000,0.734452,0.765850,0.833918,0.653709,0.701052,0.770819,0.712763
52,0.992139,59.667,1.301011,53.250,0.00012653,23.305,76.437,21.739,40.217,45.588,10.000,0.735685,0.772886,0.857110,0.682695,0.675254,0.775470,0.687895
53,0.961729,60.750,1.404391,52.750,0.00011498,23.286,78.736,23.913,33.696,44.118,10.000,0.734181,0.764446,0.833155,0.657394,0.699040,0.763156,0.718158
54,0.955552,61.000,1.323086,52.250,0.00010365,23.219,79.885,21.739,36.957,35.294,10.000,0.737954,0.771850,0.843632,0.671027,0.700981,0.773078,0.701053
55,0.947008,61.333,1.399508,51.250,0.00009260,23.352,79.885,19.565,28.261,42.647,10.000,0.729436,0.761147,0.833638,0.655736,0.691029,0.756910,0.709868
56,0.934961,61.750,1.398249,53.750,0.00008190,23.313,77.586,34.783,42.391,33.824,10.000,0.736764,0.767861,0.837250,0.664394,0.693217,0.778039,0.710921
57,0.926849,62.417,1.416474,50.750,0.00007163,23.282,79.310,23.913,33.696,30.882,10.000,0.741522,0.772455,0.835622,0.665438,0.708145,0.788669,0.709737
58,0.962365,61.083,1.408406,51.500,0.00006183,23.259,81.034,23.913,33.696,30.882,10.000,0.730384,0.766172,0.835825,0.665807,0.697770,0.774229,0.678289
