epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_acc_c5,test_acc_c6,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4,test_auc_c5,test_auc_c6
30,0.304686,88.826,0.539477,80.748,0.00030000,137.089,60.606,64.078,64.545,43.478,64.126,89.113,79.310,0.953296,0.946454,0.962821,0.965392,0.946407,0.934936,0.918150,0.948005,0.997365
31,0.425037,83.933,0.578200,79.651,0.00029954,137.033,39.394,68.932,60.000,17.391,33.184,94.482,79.310,0.950059,0.937192,0.950232,0.968015,0.930051,0.963344,0.901589,0.939519,0.997662
32,0.421452,84.245,0.602457,77.805,0.00029815,137.110,42.424,79.612,69.091,39.130,55.157,85.757,55.172,0.946836,0.937230,0.961226,0.969419,0.927242,0.933642,0.902646,0.939803,0.993875
33,0.410234,84.195,0.593923,78.504,0.00029586,136.974,51.515,70.874,41.818,34.783,46.188,92.468,82.759,0.943397,0.934068,0.957452,0.965749,0.932361,0.937174,0.893507,0.936438,0.981101
34,0.400077,84.794,0.577311,79.052,0.00029266,137.072,68.182,56.311,60.000,34.783,44.843,91.424,55.172,0.943879,0.937968,0.961586,0.972170,0.937291,0.920063,0.901167,0.939917,0.974958
35,0.387304,85.006,0.568732,79.152,0.00028858,136.950,63.636,56.311,72.273,47.826,64.574,85.533,89.655,0.953386,0.944452,0.961312,0.969582,0.944573,0.946168,0.906675,0.946753,0.998639
36,0.380981,85.518,0.560346,79.401,0.00028365,136.933,46.970,65.049,68.182,56.522,53.363,88.441,89.655,0.953686,0.941360,0.959296,0.969414,0.933697,0.961721,0.909587,0.943272,0.998813
37,0.378416,85.743,0.557453,79.850,0.00027790,136.990,62.121,71.845,51.818,26.087,65.919,89.187,79.310,0.953020,0.942516,0.966821,0.962109,0.937128,0.955754,0.909222,0.944869,0.995236
38,0.344078,86.954,0.606050,79.002,0.00027135,136.794,59.091,58.252,35.909,34.783,56.502,93.139,79.310,0.945022,0.938341,0.958374,0.965412,0.936252,0.924012,0.899624,0.941180,0.990297
39,0.337081,87.366,0.568163,80.748,0.00026406,136.774,53.030,79.612,60.000,34.783,56.502,90.306,86.207,0.951707,0.943492,0.959820,0.973829,0.944074,0.926864,0.914942,0.944110,0.998307
40,0.332579,87.391,0.606716,80.000,0.00025607,136.953,60.606,75.728,67.727,43.478,54.260,88.143,82.759,0.944168,0.935863,0.954014,0.971318,0.924332,0.940047,0.917624,0.936461,0.965378
41,0.320905,87.928,0.577525,80.050,0.00024742,136.960,56.061,61.165,49.545,30.435,45.740,94.482,68.966,0.952886,0.944968,0.962641,0.973457,0.948987,0.935024,0.908882,0.946342,0.994869
42,0.292261,88.752,0.590436,81.247,0.00023817,136.743,74.242,52.427,76.818,34.783,50.673,90.380,82.759,0.954525,0.944653,0.963563,0.968357,0.946412,0.943645,0.916595,0.945144,0.997958
43,0.302316,88.577,0.579902,81.147,0.00022837,137.010,63.636,71.845,56.818,21.739,69.058,89.933,72.414,0.956153,0.946635,0.964704,0.971252,0.941021,0.957772,0.919069,0.948209,0.991048
44,0.277544,89.675,0.581177,80.748,0.00021810,136.885,71.212,66.019,65.000,34.783,44.843,91.648,82.759,0.955119,0.945346,0.960258,0.974871,0.939610,0.952288,0.921925,0.946077,0.990803
45,0.257742,90.312,0.591630,81.995,0.00020740,136.942,46.970,77.670,62.727,52.174,53.363,92.468,82.759,0.957743,0.947666,0.961664,0.973140,0.953629,0.966437,0.916623,0.948084,0.984626
46,0.254554,90.225,0.609700,80.898,0.00019635,137.076,72.727,65.049,51.818,30.435,71.300,89.709,82.759,0.957801,0.946467,0.966079,0.965851,0.941991,0.969223,0.919111,0.947868,0.994486
