epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_acc_c5,test_acc_c6,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4,test_auc_c5,test_auc_c6
128,0.010257,99.713,0.969225,83.242,0.00005258,136.994,62.121,71.845,72.727,39.130,62.332,91.126,82.759,0.957814,0.949283,0.956796,0.973837,0.955208,0.952705,0.918019,0.950142,0.997993
129,0.010390,99.775,0.986564,83.890,0.00004818,136.811,65.152,73.786,69.091,39.130,64.126,92.095,82.759,0.956356,0.949226,0.956140,0.971277,0.951592,0.948668,0.917006,0.951101,0.998709
130,0.008929,99.750,0.997828,83.292,0.00004393,137.064,69.697,68.932,70.455,39.130,65.919,90.753,86.207,0.956314,0.947172,0.956499,0.970723,0.948370,0.953494,0.918384,0.948278,0.998447
131,0.006588,99.813,0.945873,83.990,0.00003985,137.052,68.182,67.961,70.455,47.826,59.641,92.692,93.103,0.959126,0.949289,0.957734,0.972875,0.954298,0.962203,0.917753,0.950192,0.998831
132,0.004827,99.913,0.969688,83.890,0.00003594,137.131,69.697,70.874,72.273,47.826,63.677,91.424,86.207,0.959103,0.950187,0.957351,0.970736,0.955724,0.961172,0.919358,0.951249,0.998133
133,0.005656,99.900,0.971555,84.489,0.00003220,137.090,68.182,66.990,75.000,47.826,61.883,92.543,86.207,0.957346,0.948138,0.954780,0.967974,0.955382,0.959834,0.915941,0.949166,0.998342
134,0.005332,99.913,0.991085,83.641,0.00002865,137.097,68.182,68.932,73.636,39.130,65.471,90.753,93.103,0.956726,0.948166,0.952928,0.968704,0.950921,0.957882,0.919114,0.949489,0.998046
135,0.006991,99.825,0.960953,84.389,0.00002528,136.954,68.182,69.903,75.909,47.826,64.574,91.573,86.207,0.959292,0.949954,0.956765,0.970486,0.955742,0.963125,0.920314,0.950759,0.997854
136,0.007510,99.850,0.982830,83.890,0.00002210,137.104,66.667,70.874,73.182,39.130,60.538,92.170,82.759,0.957024,0.948317,0.948943,0.972038,0.955514,0.960492,0.916279,0.949360,0.996545
137,0.007418,99.800,0.971569,83.990,0.00001913,137.045,66.667,67.961,74.091,43.478,67.713,90.902,93.103,0.957910,0.949558,0.951560,0.971392,0.953863,0.959659,0.920284,0.950725,0.997888
138,0.004352,99.938,0.987155,83.940,0.00001635,137.095,69.697,66.990,71.818,43.478,65.022,91.723,86.207,0.958186,0.949038,0.956491,0.971910,0.954020,0.958584,0.918340,0.949980,0.997976
139,0.004458,99.963,0.991426,84.040,0.00001378,137.007,71.212,68.932,70.455,43.478,64.574,91.872,89.655,0.957969,0.948870,0.956530,0.971091,0.953993,0.957706,0.918666,0.949753,0.998046
140,0.005289,99.863,0.983433,84.339,0.00001142,137.001,68.182,69.903,75.000,43.478,61.883,92.021,93.103,0.957806,0.949086,0.951967,0.971711,0.953461,0.960021,0.919534,0.950163,0.997784
141,0.004421,99.925,0.988975,83.940,0.00000927,137.107,68.182,70.874,73.182,43.478,60.090,92.021,89.655,0.958168,0.949033,0.955811,0.972474,0.952135,0.959889,0.919355,0.950092,0.997417
142,0.004535,99.863,0.981901,84.289,0.00000734,137.053,68.182,69.903,74.091,43.478,60.987,92.319,89.655,0.958224,0.949389,0.955804,0.971691,0.954855,0.958167,0.918531,0.950390,0.998133
143,0.005250,99.900,0.973396,84.289,0.00000563,137.048,68.182,69.903,74.091,43.478,59.641,92.468,93.103,0.958525,0.949599,0.955749,0.973441,0.955079,0.958518,0.918387,0.950558,0.997941
144,0.004498,99.900,0.991909,84.389,0.00000414,137.048,69.697,68.932,74.545,43.478,63.229,92.021,89.655,0.958004,0.949095,0.957030,0.970039,0.954455,0.957706,0.919135,0.950000,0.997662
145,0.004009,99.875,0.975617,84.040,0.00000288,137.055,69.697,68.932,73.182,43.478,60.987,92.170,86.207,0.958918,0.949739,0.957312,0.972607,0.955712,0.959681,0.918716,0.950579,0.997819
146,0.004118,99.938,0.979716,84.090,0.00000185,137.023,68.182,68.932,73.182,43.478,64.574,91.723,86.207,0.958538,0.949548,0.956749,0.971821,0.953964,0.959461,0.919520,0.950540,0.997714
147,0.004209,99.888,0.969747,84.489,0.00000104,137.090,66.667,69.903,73.636,43.478,62.332,92.468,93.103,0.958980,0.949956,0.958515,0.972936,0.955405,0.957619,0.919484,0.950770,0.998133
148,0.004069,99.950,0.977826,84.190,0.00000046,137.015,69.697,70.874,72.273,43.478,59.641,92.617,86.207,0.958437,0.949234,0.955577,0.972630,0.955289,0.959308,0.918749,0.949985,0.997522
149,0.004014,99.963,0.985179,84.190,0.00000012,136.814,66.667,67.961,72.727,43.478,62.332,92.394,89.655,0.958017,0.948960,0.956999,0.971471,0.953360,0.958277,0.918305,0.949997,0.997714
150,0.005073,99.863,0.981994,84.090,0.00030000,136.880,68.182,67.961,75.000,43.478,60.987,92.095,86.207,0.958461,0.949355,0.958070,0.972290,0.954601,0.957684,0.918663,0.950219,0.997696
