epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
1,1.415313,43.833,1.432537,43.500,0.00029266,24.880,100.000,0.000,0.000,0.000,0.000,0.711724,0.743828,0.819906,0.615881,0.642681,0.787651,0.692500
2,1.254976,50.667,1.346486,43.500,0.00027135,22.999,100.000,0.000,0.000,0.000,0.000,0.721742,0.756660,0.836665,0.617047,0.656938,0.797927,0.700132
3,1.176296,51.750,1.202284,48.500,0.00023817,22.965,91.379,8.696,30.435,4.412,0.000,0.730041,0.763319,0.836792,0.652481,0.673595,0.791549,0.695789
4,1.152874,53.750,1.179491,51.750,0.00019635,23.048,91.379,17.391,31.522,16.176,0.000,0.744701,0.775090,0.848845,0.676676,0.693147,0.777994,0.726842
5,1.127450,53.167,1.168767,54.250,0.00015000,23.042,85.632,23.913,43.478,25.000,0.000,0.749101,0.779412,0.848184,0.679808,0.711004,0.778482,0.728026
6,1.123050,53.583,1.170247,53.750,0.00010365,23.095,79.885,15.217,48.913,33.824,5.000,0.749647,0.780300,0.849074,0.671825,0.711815,0.784993,0.730526
7,1.123974,52.583,1.169084,55.250,0.00006183,23.150,78.161,15.217,45.652,51.471,5.000,0.751354,0.781307,0.847193,0.682756,0.720638,0.776710,0.729474
8,1.109375,52.667,1.172034,55.500,0.00002865,23.196,78.161,10.870,54.348,42.647,10.000,0.749814,0.780844,0.847269,0.678396,0.720673,0.778127,0.724605
9,1.102315,53.250,1.171468,55.750,0.00000734,23.177,78.161,10.870,57.609,41.176,5.000,0.751786,0.782748,0.848769,0.679501,0.723073,0.780873,0.726711
10,1.105409,54.333,1.169635,55.500,0.00030000,23.232,78.736,10.870,56.522,39.706,5.000,0.752726,0.783301,0.849049,0.678273,0.723708,0.782335,0.730263
11,1.106291,53.583,1.190982,56.000,0.00029815,23.210,76.437,17.391,53.261,45.588,15.000,0.747204,0.780883,0.856398,0.662798,0.714992,0.771572,0.730263
12,1.132844,52.833,1.187812,57.000,0.00029266,23.209,78.736,26.087,57.609,38.235,0.000,0.746423,0.780441,0.850015,0.671334,0.723391,0.772768,0.714605
13,1.107546,54.750,1.222152,55.500,0.00028365,23.260,74.713,15.217,54.348,50.000,5.000,0.746145,0.779756,0.850168,0.680545,0.712627,0.778304,0.709079
14,1.108207,54.667,1.216808,54.250,0.00027135,23.197,78.161,19.565,47.826,38.235,10.000,0.750031,0.777330,0.843276,0.674220,0.705992,0.785480,0.741184
15,1.087730,55.250,1.242451,54.250,0.00025607,23.274,80.460,23.913,41.304,38.235,10.000,0.743273,0.775658,0.843454,0.657271,0.724379,0.766655,0.724605
16,1.114456,53.500,1.181823,56.750,0.00023817,23.249,81.609,19.565,63.043,25.000,5.000,0.757485,0.787971,0.855508,0.680423,0.739942,0.765105,0.746447
17,1.097431,54.083,1.218465,52.500,0.00021810,23.224,76.437,13.043,29.348,61.765,10.000,0.743699,0.777187,0.851338,0.677106,0.700875,0.777729,0.711447
18,1.085638,53.417,1.200001,55.250,0.00019635,23.284,75.862,28.261,51.087,39.706,10.000,0.745857,0.776612,0.848108,0.670965,0.709098,0.769800,0.731316
19,1.095599,55.417,1.211900,55.500,0.00017347,23.309,76.437,13.043,63.043,33.824,10.000,0.749351,0.780205,0.850219,0.668693,0.722014,0.767541,0.738289
20,1.072152,55.250,1.225685,53.750,0.00015000,23.279,74.713,19.565,41.304,55.882,0.000,0.741128,0.773492,0.847345,0.665438,0.697911,0.775868,0.719079
21,1.056902,56.250,1.229963,54.750,0.00012653,23.284,76.437,30.435,46.739,39.706,10.000,0.745268,0.778931,0.853016,0.657271,0.708180,0.783398,0.724474
22,1.046159,56.250,1.221395,55.250,0.00010365,23.295,77.011,26.087,55.435,32.353,10.000,0.753190,0.783281,0.850702,0.675633,0.727873,0.771084,0.740658
23,1.076530,55.333,1.235690,54.000,0.00008190,23.252,79.885,23.913,45.652,32.353,10.000,0.752464,0.782097,0.854211,0.659482,0.714427,0.780386,0.753816
24,1.054499,55.500,1.212737,55.000,0.00006183,23.253,75.862,19.565,51.087,44.118,10.000,0.747214,0.781916,0.856322,0.660096,0.710192,0.789068,0.720395
25,1.049074,55.917,1.235863,54.500,0.00004393,23.251,75.862,21.739,50.000,41.176,10.000,0.742387,0.775138,0.848032,0.666360,0.705075,0.773521,0.718947
26,1.037161,56.250,1.227038,55.750,0.00002865,23.338,75.287,30.435,53.261,39.706,10.000,0.747125,0.778513,0.850727,0.662736,0.708180,0.780431,0.733553
27,1.043675,55.917,1.245446,55.000,0.00001635,23.266,74.713,28.261,48.913,44.118,10.000,0.743237,0.777184,0.850168,0.655490,0.708004,0.783443,0.719079
