epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
37,1.031366,56.750,1.313846,54.250,0.00027790,23.294,75.287,26.087,50.000,41.176,0.000,0.733532,0.764950,0.831655,0.667649,0.713968,0.745571,0.708816
38,1.052899,56.167,1.272074,50.750,0.00027135,23.375,86.207,8.696,22.826,38.235,10.000,0.739027,0.772813,0.850168,0.657701,0.679701,0.797041,0.710526
39,1.038708,56.667,1.297637,56.500,0.00026406,23.350,79.885,30.435,45.652,44.118,5.000,0.749287,0.781239,0.849914,0.673606,0.717074,0.782025,0.723816
40,1.028660,57.250,1.292936,52.750,0.00025607,23.375,77.011,21.739,39.130,42.647,10.000,0.745404,0.777201,0.851999,0.656166,0.700628,0.783886,0.734342
41,1.035447,55.083,1.274845,54.250,0.00024742,23.319,78.161,34.783,38.043,44.118,0.000,0.740797,0.773171,0.847447,0.671150,0.695193,0.774539,0.715658
42,1.025043,56.083,1.304504,54.500,0.00023817,23.351,75.862,23.913,57.609,29.412,10.000,0.746857,0.777985,0.839462,0.677413,0.728755,0.773919,0.714737
43,1.000995,57.833,1.276325,54.250,0.00022837,23.425,80.460,23.913,33.696,48.529,10.000,0.739656,0.770842,0.842259,0.671579,0.711110,0.750044,0.723289
44,1.004694,59.167,1.307485,50.500,0.00021810,23.386,90.230,21.739,23.913,16.176,10.000,0.721970,0.759293,0.838165,0.657824,0.677830,0.761162,0.674868
45,1.002883,58.750,1.368333,54.000,0.00020740,23.339,72.989,28.261,35.870,61.765,5.000,0.735388,0.771721,0.845133,0.658008,0.704792,0.773875,0.695132
46,1.017009,57.667,1.363975,49.250,0.00019635,23.303,82.184,17.391,35.870,13.235,20.000,0.722670,0.751517,0.818686,0.640138,0.686018,0.754695,0.713816
47,1.015145,57.000,1.319374,57.750,0.00018502,23.363,76.437,32.609,57.609,44.118,0.000,0.749580,0.781755,0.844929,0.680115,0.726602,0.783886,0.712368
48,0.990819,58.333,1.377548,51.000,0.00017347,23.352,77.586,30.435,33.696,32.353,10.000,0.740558,0.771136,0.838902,0.664026,0.697981,0.785170,0.716711
49,0.992928,58.417,1.412552,51.250,0.00016177,23.309,83.908,19.565,22.826,39.706,10.000,0.736936,0.768078,0.834986,0.660771,0.710016,0.763510,0.715395
50,0.989022,59.167,1.316395,52.750,0.00015000,23.342,78.736,17.391,36.957,44.118,10.000,0.736436,0.776010,0.858280,0.663473,0.692582,0.780608,0.687237
51,0.982311,61.333,1.401877,52.250,0.00013823,23.375,78.736,28.261,36.957,33.824,10.000,0.735258,0.766657,0.834351,0.653893,0.702922,0.771572,0.713553
52,0.992961,59.667,1.301921,53.000,0.00012653,23.374,76.437,21.739,39.130,45.588,10.000,0.735211,0.772625,0.857364,0.681896,0.674442,0.775115,0.687237
53,0.962438,60.667,1.404044,52.750,0.00011498,23.421,78.736,23.913,33.696,44.118,10.000,0.733980,0.764066,0.832952,0.656350,0.698370,0.762624,0.719605
54,0.955993,60.750,1.318546,52.250,0.00010365,23.389,79.885,21.739,36.957,35.294,10.000,0.738678,0.772432,0.843836,0.671641,0.701934,0.774008,0.701974
55,0.947570,61.417,1.398160,51.750,0.00009260,23.367,79.885,19.565,28.261,45.588,10.000,0.729270,0.761118,0.834198,0.655490,0.690994,0.755404,0.710263
56,0.935645,61.500,1.395440,53.000,0.00008190,23.310,77.011,34.783,39.130,35.294,10.000,0.737122,0.768012,0.837275,0.663965,0.694099,0.777374,0.712895
57,0.927621,62.417,1.413805,51.000,0.00007163,23.354,79.310,23.913,34.783,30.882,10.000,0.742260,0.773107,0.836080,0.664824,0.710192,0.788359,0.711842
58,0.962943,61.250,1.404433,51.250,0.00006183,23.373,81.034,23.913,32.609,30.882,10.000,0.730832,0.766427,0.835876,0.665438,0.698793,0.773919,0.680132
59,0.930580,62.250,1.412697,50.500,0.00005258,23.341,77.011,17.391,26.087,50.000,10.000,0.727836,0.757779,0.825959,0.665438,0.679842,0.768338,0.699605
60,0.926150,62.000,1.423830,51.250,0.00004393,23.365,78.736,26.087,30.435,38.235,10.000,0.729792,0.763824,0.836868,0.661263,0.698511,0.753898,0.698421
61,0.909891,62.500,1.397881,51.750,0.00003594,23.325,79.310,26.087,27.174,44.118,10.000,0.730316,0.765642,0.837453,0.664763,0.685700,0.783398,0.680263
62,0.908969,62.500,1.425237,51.250,0.00002865,23.381,78.161,23.913,33.696,36.765,10.000,0.733128,0.764636,0.830994,0.661938,0.698722,0.771882,0.702105
