epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
37,1.119841,54.333,1.205026,55.250,0.00027790,25.574,76.437,8.696,63.043,36.765,5.000,0.739149,0.772608,0.845540,0.667035,0.695405,0.781316,0.706447
38,1.095683,54.250,1.203829,54.250,0.00027135,25.412,78.161,8.696,47.826,48.529,0.000,0.750297,0.784406,0.856703,0.674650,0.726249,0.770198,0.723684
39,1.114688,53.417,1.214486,54.750,0.00026406,25.569,77.586,19.565,42.391,51.471,5.000,0.748245,0.779858,0.850804,0.669492,0.705322,0.789688,0.725921
40,1.081279,54.000,1.204410,56.500,0.00025607,25.578,78.736,17.391,53.261,44.118,10.000,0.747987,0.779688,0.847269,0.669123,0.720109,0.778172,0.725263
41,1.097028,55.000,1.212950,55.750,0.00024742,25.660,77.586,17.391,52.174,45.588,5.000,0.745946,0.779021,0.849761,0.661447,0.718803,0.774982,0.724737
42,1.094781,54.000,1.218274,51.750,0.00023817,25.440,78.161,4.348,30.435,60.294,0.000,0.747287,0.780099,0.851617,0.677598,0.707016,0.784151,0.716053
43,1.072538,54.417,1.209224,55.250,0.00022837,25.483,76.437,21.739,43.478,55.882,0.000,0.743978,0.775504,0.848515,0.663228,0.696252,0.786632,0.725263
44,1.089587,54.333,1.207370,55.750,0.00021810,25.521,77.586,8.696,61.957,38.235,5.000,0.748985,0.781574,0.850778,0.671579,0.725473,0.771173,0.725921
45,1.086051,53.917,1.216228,56.500,0.00020740,25.537,79.885,23.913,44.565,48.529,10.000,0.745415,0.779753,0.848795,0.675755,0.720391,0.775159,0.706974
46,1.071954,55.750,1.228056,54.000,0.00019635,25.567,77.586,15.217,40.217,51.471,10.000,0.745581,0.776883,0.845870,0.674159,0.704016,0.785702,0.718158
47,1.082476,55.417,1.208838,58.750,0.00018502,25.509,77.011,23.913,55.435,57.353,0.000,0.752304,0.782982,0.850626,0.666053,0.718838,0.789422,0.736579
48,1.079710,56.000,1.232779,55.000,0.00017347,25.611,77.011,23.913,35.870,61.765,0.000,0.745604,0.778544,0.847523,0.658192,0.712345,0.790353,0.719605
49,1.076814,54.750,1.219724,55.500,0.00016177,25.625,77.011,13.043,46.739,55.882,5.000,0.746181,0.780383,0.848439,0.678273,0.715239,0.786322,0.702632
50,1.067935,55.083,1.217257,55.250,0.00015000,25.547,75.862,17.391,53.261,45.588,5.000,0.745338,0.776714,0.846786,0.663351,0.709910,0.778880,0.727763
51,1.076664,55.833,1.226177,56.000,0.00013823,25.589,76.437,26.087,44.565,52.941,10.000,0.744872,0.778607,0.847777,0.659297,0.718909,0.781139,0.717237
52,1.070590,56.000,1.216909,55.750,0.00012653,25.557,75.287,15.217,47.826,57.353,10.000,0.746091,0.778706,0.849481,0.661508,0.711992,0.783133,0.724342
53,1.065075,53.917,1.209224,57.250,0.00011498,25.595,76.437,19.565,51.087,58.824,0.000,0.749709,0.782715,0.850371,0.664579,0.724873,0.785170,0.723553
54,1.072346,55.750,1.228043,56.250,0.00010365,25.582,75.287,21.739,46.739,57.353,10.000,0.750921,0.782584,0.849914,0.661140,0.723320,0.787208,0.733026
55,1.058540,56.250,1.221918,56.000,0.00009260,25.651,75.287,19.565,46.739,57.353,10.000,0.748129,0.781264,0.849100,0.668018,0.721309,0.783930,0.718289
56,1.068317,56.250,1.226978,57.500,0.00008190,25.495,75.287,26.087,54.348,51.471,10.000,0.747501,0.779805,0.847676,0.662491,0.722897,0.778260,0.726184
57,1.059873,55.000,1.228109,56.750,0.00007163,25.451,75.287,21.739,50.000,55.882,10.000,0.747352,0.779082,0.846557,0.668386,0.716721,0.782202,0.722895
58,1.055278,56.750,1.215627,57.500,0.00006183,25.575,75.862,26.087,51.087,54.412,10.000,0.748343,0.780452,0.848057,0.666421,0.720250,0.782512,0.724474
59,1.065155,55.167,1.212361,56.750,0.00005258,25.524,75.287,21.739,50.000,55.882,10.000,0.750043,0.781311,0.848540,0.670597,0.719297,0.783753,0.728026
60,1.055911,55.833,1.218791,56.250,0.00004393,25.585,75.287,21.739,48.913,54.412,10.000,0.750193,0.781263,0.847701,0.668877,0.720850,0.784328,0.729211
61,1.050714,56.917,1.225207,56.750,0.00003594,25.600,75.287,19.565,51.087,55.882,10.000,0.748221,0.779880,0.846684,0.669184,0.718415,0.783664,0.723158
62,1.048048,55.750,1.218831,57.250,0.00002865,25.509,75.862,21.739,51.087,55.882,10.000,0.748971,0.781338,0.849405,0.666667,0.718556,0.786676,0.723553
63,1.052085,55.417,1.225352,56.500,0.00002210,25.542,76.437,19.565,52.174,50.000,10.000,0.747499,0.779456,0.847116,0.664640,0.715239,0.787473,0.723026
64,1.055992,56.833,1.226234,56.250,0.00001635,25.507,75.287,21.739,53.261,48.529,10.000,0.746992,0.779210,0.847269,0.664886,0.714992,0.786233,0.721579
65,1.065477,55.833,1.224730,57.250,0.00001142,25.571,75.862,23.913,51.087,54.412,10.000,0.747424,0.779819,0.848337,0.665254,0.715944,0.785347,0.722237
66,1.056319,55.667,1.223775,57.250,0.00000734,25.575,75.862,23.913,50.000,55.882,10.000,0.747577,0.780137,0.848261,0.665930,0.718450,0.783797,0.721447
67,1.044504,56.583,1.224154,57.000,0.00000414,25.505,75.287,26.087,51.087,52.941,10.000,0.747871,0.780176,0.848184,0.665623,0.718415,0.783974,0.723158
68,1.048508,55.417,1.223220,57.250,0.00000185,25.560,75.862,23.913,51.087,54.412,10.000,0.749081,0.781041,0.848769,0.665193,0.719826,0.784904,0.726711
69,1.050771,56.333,1.224097,57.250,0.00000046,25.523,76.437,21.739,50.000,55.882,10.000,0.748002,0.780546,0.848286,0.665746,0.718697,0.785967,0.721316
70,1.047833,56.750,1.220721,57.000,0.00030000,25.633,75.862,19.565,50.000,57.353,10.000,0.749325,0.781157,0.848617,0.665684,0.719156,0.786588,0.726579
71,1.079097,56.000,1.230209,56.750,0.00029988,25.497,73.563,28.261,51.087,54.412,10.000,0.749967,0.778831,0.844650,0.668079,0.714709,0.783974,0.738421
72,1.056729,55.833,1.222956,56.750,0.00029954,25.687,75.287,23.913,51.087,52.941,10.000,0.751468,0.781987,0.847777,0.672930,0.720356,0.786012,0.730263
73,1.072005,56.750,1.252718,54.250,0.00029896,25.556,77.011,26.087,52.174,32.353,5.000,0.742418,0.774108,0.843505,0.651683,0.718485,0.767231,0.731184
74,1.079498,55.917,1.220886,54.500,0.00029815,25.585,77.586,13.043,40.217,58.824,0.000,0.754247,0.783262,0.846684,0.684107,0.717038,0.793276,0.730132
75,1.064665,55.833,1.212892,57.250,0.00029712,25.653,76.437,19.565,59.783,45.588,5.000,0.750741,0.779216,0.842564,0.669369,0.721062,0.782025,0.738684
76,1.046243,56.833,1.239344,55.500,0.00029586,25.552,75.862,30.435,48.913,42.647,10.000,0.753907,0.781670,0.847498,0.661447,0.724379,0.779367,0.756842
77,1.043852,55.000,1.215345,55.750,0.00029437,25.587,78.161,15.217,48.913,48.529,10.000,0.757666,0.787080,0.849481,0.681835,0.733060,0.786189,0.737763
78,1.062504,55.583,1.228101,54.750,0.00029266,25.609,75.287,23.913,41.304,54.412,10.000,0.748233,0.779760,0.847015,0.681712,0.709698,0.787872,0.714868
79,1.056384,57.250,1.235105,55.250,0.00029073,25.601,75.862,30.435,48.913,41.176,10.000,0.744143,0.775579,0.844700,0.654078,0.707580,0.787119,0.727237
80,1.054116,56.500,1.208611,56.250,0.00028858,25.652,77.011,13.043,58.696,42.647,10.000,0.759751,0.787962,0.852228,0.670474,0.733060,0.786543,0.756447
81,1.044745,57.333,1.261842,50.750,0.00028622,25.504,85.057,19.565,22.826,33.824,10.000,0.750387,0.780924,0.846048,0.666237,0.717074,0.793498,0.729079
82,1.044684,56.833,1.214224,56.500,0.00028365,25.576,72.989,15.217,56.522,55.882,10.000,0.751788,0.780898,0.848515,0.689573,0.717285,0.769490,0.734079
83,1.035231,55.833,1.294743,55.500,0.00028087,25.600,76.437,23.913,45.652,50.000,10.000,0.751748,0.782263,0.844802,0.669430,0.730131,0.784506,0.729868
84,1.032726,57.250,1.223610,52.250,0.00027790,25.532,76.437,21.739,28.261,55.882,10.000,0.747760,0.779500,0.849303,0.679624,0.711886,0.777197,0.720789
85,1.047667,57.250,1.242969,55.500,0.00027472,25.570,77.011,28.261,46.739,45.588,5.000,0.747396,0.779299,0.844548,0.665131,0.722720,0.783133,0.721447
86,1.031479,56.833,1.240881,53.750,0.00027135,25.374,72.989,15.217,43.478,57.353,10.000,0.747398,0.782516,0.852838,0.685028,0.713192,0.786853,0.699079
87,1.048423,56.000,1.318009,52.000,0.00026780,25.074,79.310,34.783,43.478,16.176,15.000,0.750152,0.779116,0.843022,0.665684,0.721026,0.783000,0.738026
88,1.047806,56.833,1.220425,55.250,0.00026406,25.039,77.586,30.435,32.609,58.824,10.000,0.749453,0.783294,0.852685,0.678212,0.716474,0.788315,0.711579
89,1.024949,56.750,1.329536,53.500,0.00026015,25.529,80.460,26.087,39.130,35.294,10.000,0.746122,0.774997,0.838953,0.658131,0.714462,0.784063,0.735000
90,1.031954,56.917,1.253014,52.750,0.00025607,25.598,75.287,28.261,29.348,55.882,10.000,0.749149,0.783114,0.852991,0.681835,0.714497,0.787473,0.708947
91,1.020124,57.417,1.278249,53.500,0.00025182,25.586,77.011,39.130,39.130,35.294,10.000,0.743969,0.773696,0.839411,0.664210,0.711568,0.777286,0.727368
92,1.020898,57.083,1.279838,54.750,0.00024742,25.622,73.563,32.609,36.957,58.824,10.000,0.744060,0.776890,0.844624,0.677413,0.712592,0.778304,0.707368
93,1.038775,56.583,1.247036,55.250,0.00024286,25.584,77.011,15.217,45.652,52.941,10.000,0.748678,0.781806,0.847930,0.683984,0.711851,0.796598,0.703026
94,1.026935,57.250,1.295211,52.500,0.00023817,25.660,78.161,23.913,43.478,30.882,10.000,0.748241,0.778019,0.844929,0.666053,0.715944,0.779146,0.735132
95,1.021864,57.417,1.269423,54.000,0.00023334,25.419,75.287,23.913,38.043,54.412,10.000,0.742158,0.777319,0.844726,0.685704,0.710686,0.783886,0.685789
96,1.017222,57.750,1.265795,55.250,0.00022837,25.487,75.862,36.957,42.391,47.059,5.000,0.744215,0.773133,0.836766,0.666482,0.713262,0.776798,0.727763
97,1.023712,57.667,1.262631,54.000,0.00022329,25.449,77.586,21.739,43.478,42.647,10.000,0.746902,0.778552,0.845285,0.681896,0.709380,0.786499,0.711447
98,1.017456,57.417,1.238925,55.750,0.00021810,25.544,77.586,17.391,42.391,57.353,10.000,0.756221,0.785365,0.847015,0.697802,0.721273,0.791859,0.723158
99,1.025273,56.667,1.244838,55.000,0.00021280,25.604,79.885,19.565,36.957,52.941,10.000,0.746988,0.778076,0.846455,0.673483,0.705498,0.788979,0.720526
100,1.012041,58.250,1.289093,54.250,0.00020740,25.499,79.310,28.261,39.130,41.176,10.000,0.749518,0.778780,0.843582,0.677905,0.714462,0.782955,0.728684
101,1.018391,57.083,1.280529,56.750,0.00020192,25.502,78.161,36.957,44.565,45.588,10.000,0.751221,0.778178,0.839462,0.683923,0.717427,0.779899,0.735395
102,1.000736,58.000,1.272176,54.750,0.00019635,25.514,78.161,34.783,35.870,47.059,10.000,0.751520,0.780148,0.845362,0.681896,0.713650,0.783531,0.733158
103,0.992511,57.833,1.284906,55.250,0.00019072,25.636,76.437,34.783,42.391,45.588,10.000,0.747545,0.777715,0.841115,0.677352,0.714250,0.786720,0.718289
104,0.999367,57.750,1.268325,53.500,0.00018502,25.529,78.161,26.087,43.478,35.294,10.000,0.748527,0.776395,0.839665,0.673545,0.710474,0.786056,0.732895
105,1.006343,57.833,1.268484,55.750,0.00017926,25.603,78.736,28.261,42.391,47.059,10.000,0.752446,0.782689,0.847930,0.681159,0.714286,0.793985,0.724868
106,1.005807,58.333,1.280418,54.000,0.00017347,25.558,78.161,28.261,38.043,44.118,10.000,0.745905,0.777033,0.843887,0.669553,0.709627,0.786720,0.719737
107,1.011343,58.250,1.240394,55.000,0.00016763,25.553,78.736,21.739,42.391,47.059,10.000,0.749029,0.781146,0.849456,0.688529,0.709345,0.786765,0.711053
108,0.987155,56.500,1.277733,55.000,0.00016177,25.475,77.586,28.261,36.957,52.941,10.000,0.751047,0.779346,0.843632,0.684046,0.710263,0.787296,0.730000
109,0.999956,58.333,1.299649,56.000,0.00015589,25.495,78.736,28.261,44.565,44.118,15.000,0.748914,0.779576,0.843353,0.681098,0.712062,0.793453,0.714605
110,1.005503,56.417,1.287507,55.500,0.00015000,25.540,75.862,30.435,42.391,51.471,10.000,0.745485,0.774734,0.838826,0.678028,0.703698,0.788979,0.717895
111,0.991445,57.583,1.270811,55.750,0.00014411,25.619,74.138,36.957,42.391,52.941,10.000,0.752233,0.783343,0.847854,0.688836,0.723991,0.781405,0.719079
112,1.010971,58.000,1.267758,55.250,0.00013823,25.386,77.586,34.783,39.130,47.059,10.000,0.746142,0.777598,0.844548,0.672501,0.710192,0.786366,0.717105
113,0.983987,57.583,1.274498,55.250,0.00013237,25.669,78.161,26.087,38.043,52.941,10.000,0.747058,0.780121,0.847015,0.675203,0.712168,0.793143,0.707763
114,0.976428,57.333,1.274436,52.500,0.00012653,25.637,74.713,19.565,31.522,58.824,10.000,0.746346,0.778825,0.847472,0.690739,0.703416,0.787075,0.703026
115,0.988734,57.667,1.277419,54.500,0.00012074,25.469,77.586,26.087,45.652,39.706,10.000,0.749508,0.780126,0.845387,0.677905,0.718803,0.781892,0.723553
