coverage,risk_mean,ci_low,ci_high
0.1825000000,0.1534246575,0.1391938269,0.1676554881
0.1850000000,0.1540540541,0.1390462427,0.1690618654
0.1875000000,0.1520000000,0.1371922928,0.1668077072
0.1900000000,0.1526315789,0.1436830608,0.1615800971
0.1925000000,0.1558441558,0.1397186494,0.1719696623
0.1950000000,0.1564102564,0.1430916585,0.1697288543
0.1975000000,0.1569620253,0.1390415851,0.1748824655
0.2000000000,0.1600000000,0.1429978155,0.1770021845
0.2025000000,0.1654320988,0.1448658387,0.1859983588
0.2050000000,0.1682926829,0.1434114373,0.1931739286
0.2075000000,0.1662650602,0.1416835887,0.1908465318
0.2100000000,0.1666666667,0.1485628379,0.1847704954
0.2125000000,0.1670588235,0.1480125672,0.1861050798
0.2150000000,0.1651162791,0.1462914909,0.1839410673
0.2175000000,0.1632183908,0.1446099795,0.1818268021
0.2200000000,0.1613636364,0.1429666843,0.1797605885
0.2225000000,0.1617977528,0.1430801454,0.1805153603
0.2250000000,0.1600000000,0.1414903660,0.1785096340
0.2275000000,0.1582417582,0.1399355268,0.1765479897
0.2300000000,0.1586956522,0.1382274273,0.1791638770
0.2325000000,0.1569892473,0.1367411109,0.1772373837
0.2350000000,0.1553191489,0.1352864182,0.1753518797
0.2375000000,0.1600000000,0.1429586128,0.1770413872
0.2400000000,0.1583333333,0.1414694606,0.1751972061
0.2425000000,0.1587628866,0.1393497249,0.1781760483
0.2450000000,0.1571428571,0.1379277889,0.1763579254
0.2475000000,0.1575757576,0.1385547809,0.1765967342
0.2500000000,0.1580000000,0.1443982524,0.1716017476
0.2525000000,0.1584158416,0.1433591919,0.1734724912
0.2550000000,0.1588235294,0.1486387193,0.1690083395
0.2575000000,0.1572815534,0.1471956249,0.1673674819
0.2600000000,0.1576923077,0.1440796656,0.1713049498
0.2625000000,0.1580952381,0.1446122402,0.1715782360
0.2650000000,0.1603773585,0.1520944431,0.1686602739
0.2675000000,0.1588785047,0.1506729997,0.1670840097
0.2700000000,0.1574074074,0.1492778793,0.1655369355
0.2725000000,0.1559633028,0.1479083575,0.1640182480
0.2750000000,0.1563636364,0.1513155544,0.1614117184
0.2775000000,0.1549549550,0.1499523512,0.1599575587
0.2800000000,0.1535714286,0.1486134909,0.1585293663
0.2825000000,0.1522123894,0.1472983272,0.1571264515
0.2850000000,0.1526315789,0.1466659002,0.1585972577
0.2875000000,0.1530434783,0.1433862779,0.1627006786
0.2900000000,0.1517241379,0.1421501893,0.1612980866
0.2925000000,0.1504273504,0.1409352304,0.1599194704
0.2950000000,0.1491525424,0.1397408641,0.1585642207
0.2975000000,0.1478991597,0.1385665711,0.1572317483
0.3000000000,0.1483333333,0.1396762447,0.1569904219
0.3025000000,0.1487603306,0.1415042229,0.1560164383
0.3050000000,0.1524590164,0.1468845297,0.1580335031
0.3075000000,0.1512195122,0.1456903465,0.1567486779
0.3100000000,0.1532258065,0.1532258065,0.1532258065
0.3125000000,0.1520000000,0.1520000000,0.1520000000
0.3150000000,0.1523809524,0.1479738967,0.1567880081
0.3175000000,0.1527559055,0.1474008868,0.1581109243
0.3200000000,0.1562500000,0.1465495000,0.1659505000
0.3225000000,0.1581395349,0.1452258367,0.1710532330
0.3250000000,0.1615384615,0.1436696874,0.1794072357
0.3275000000,0.1603053435,0.1425729722,0.1780377148
0.3300000000,0.1606060606,0.1451495292,0.1760625920
0.3325000000,0.1609022556,0.1467437843,0.1750607270
0.3350000000,0.1597014925,0.1456486814,0.1737543036
0.3375000000,0.1585185185,0.1445698023,0.1724672347
0.3400000000,0.1573529412,0.1435067891,0.1711990933
0.3425000000,0.1576642336,0.1473305491,0.1679979181
0.3450000000,0.1565217391,0.1462629364,0.1667805419
0.3475000000,0.1553956835,0.1452106851,0.1655806818
0.3500000000,0.1542857143,0.1441734659,0.1643979627
0.3525000000,0.1560283688,0.1452431091,0.1668136285
0.3550000000,0.1577464789,0.1477766565,0.1677163012
0.3575000000,0.1566433566,0.1467432533,0.1665434600
0.3600000000,0.1583333333,0.1488876753,0.1677789914
0.3625000000,0.1586206897,0.1465104961,0.1707308832
0.3650000000,0.1602739726,0.1473761871,0.1731717581
0.3675000000,0.1632653061,0.1513198771,0.1752107351
0.3700000000,0.1648648649,0.1552992245,0.1744305052
0.3725000000,0.1677852349,0.1575790496,0.1779914202
0.3750000000,0.1693333333,0.1619294797,0.1767371869
0.3775000000,0.1721854305,0.1663709336,0.1779999274
0.3800000000,0.1723684211,0.1634199029,0.1813169392
0.3825000000,0.1751633987,0.1683735253,0.1819532721
0.3850000000,0.1779220779,0.1735059261,0.1823382297
0.3875000000,0.1793548387,0.1726525766,0.1860571009
0.3900000000,0.1807692308,0.1741099318,0.1874285297
0.3925000000,0.1808917197,0.1718744282,0.1899090113
0.3950000000,0.1822784810,0.1736697800,0.1908871820
0.3975000000,0.1861635220,0.1791787545,0.1931482896
0.4000000000,0.1887500000,0.1802489077,0.1972510923
0.4025000000,0.1900621118,0.1831641115,0.1969601121
0.4050000000,0.1938271605,0.1850881804,0.2025661406
0.4075000000,0.1950920245,0.1867473941,0.2034366550
0.4100000000,0.1975609756,0.1889285684,0.2061933828
0.4125000000,0.2012121212,0.1949160568,0.2075081857
0.4150000000,0.2048192771,0.1995301865,0.2101083677
0.4175000000,0.2071856287,0.2031132492,0.2112580083
0.4200000000,0.2095238095,0.2062185177,0.2128291013
0.4225000000,0.2106508876,0.2040794199,0.2172223553
0.4250000000,0.2129411765,0.2049401485,0.2209422045
0.4275000000,0.2175438596,0.2095896213,0.2254980980
0.4300000000,0.2209302326,0.2120888278,0.2297716373
0.4325000000,0.2231213873,0.2149380649,0.2313047097
0.4350000000,0.2241379310,0.2140461031,0.2342297590
0.4375000000,0.2262857143,0.2155252761,0.2370461525
0.4400000000,0.2306818182,0.2199825188,0.2413811175
0.4425000000,0.2338983051,0.2244866268,0.2433099834
0.4450000000,0.2337078652,0.2231287826,0.2442869477
0.4475000000,0.2357541899,0.2281554483,0.2433529316
0.4500000000,0.2366666667,0.2288015846,0.2445317488
0.4525000000,0.2397790055,0.2319573769,0.2476006341
0.4550000000,0.2395604396,0.2334583624,0.2456625167
0.4575000000,0.2426229508,0.2348868045,0.2503590971
0.4600000000,0.2456521739,0.2382599198,0.2530444281
0.4625000000,0.2486486486,0.2404285318,0.2568687655
0.4650000000,0.2483870968,0.2410743292,0.2556998643
0.4675000000,0.2513368984,0.2432046973,0.2594690995
0.4700000000,0.2531914894,0.2431751240,0.2632078547
