epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
37,1.021170,56.417,1.325614,52.000,0.00027790,26.244,79.310,32.609,20.652,51.471,5.000,0.746366,0.778208,0.854771,0.678150,0.697487,0.774185,0.727237
38,1.001555,58.417,1.377462,51.750,0.00027135,26.246,74.138,21.739,47.826,30.882,15.000,0.739108,0.764770,0.837555,0.688160,0.690782,0.737199,0.741842
39,0.989195,58.750,1.404832,51.000,0.00026406,26.201,82.759,19.565,36.957,22.059,10.000,0.719030,0.754009,0.827866,0.669369,0.693005,0.727277,0.677632
40,0.988635,59.167,1.394018,53.000,0.00025607,26.163,83.333,17.391,33.696,38.235,10.000,0.736877,0.775224,0.857034,0.658069,0.705357,0.760897,0.703026
41,0.961447,60.333,1.308117,56.250,0.00024742,26.222,78.161,19.565,60.870,32.353,10.000,0.744760,0.772715,0.840988,0.701240,0.699675,0.760188,0.721711
42,0.986035,58.333,1.442773,50.000,0.00023817,26.250,81.034,23.913,30.435,22.059,25.000,0.739578,0.762494,0.828756,0.681958,0.700134,0.734807,0.752237
43,0.935551,61.250,1.320629,52.250,0.00022837,26.272,82.759,19.565,29.348,39.706,10.000,0.745153,0.775586,0.848642,0.687116,0.705992,0.756910,0.727105
44,0.962281,60.333,1.402500,50.500,0.00021810,26.208,81.034,23.913,36.957,23.529,0.000,0.725350,0.755758,0.827535,0.678826,0.666431,0.764484,0.689474
45,0.966077,62.167,1.485790,49.750,0.00020740,26.188,81.034,2.174,43.478,20.588,15.000,0.722253,0.758660,0.842259,0.667219,0.668796,0.750620,0.682368
46,0.927072,60.917,1.394349,48.750,0.00019635,26.228,77.586,4.348,33.696,30.882,30.000,0.741553,0.769235,0.847777,0.713584,0.679489,0.739679,0.727237
47,0.926620,61.750,1.383710,49.500,0.00018502,26.136,85.632,19.565,5.435,50.000,5.000,0.722021,0.769291,0.847015,0.697494,0.684959,0.783797,0.596842
48,0.900192,65.250,1.529854,51.250,0.00017347,26.285,77.586,45.652,32.609,26.471,5.000,0.730785,0.759533,0.823975,0.660464,0.700981,0.754164,0.714342
49,0.909398,62.750,1.432211,49.250,0.00016177,26.174,82.184,10.870,26.087,33.824,10.000,0.728042,0.757426,0.829875,0.716961,0.655456,0.761074,0.676842
50,0.857350,65.083,1.541970,48.500,0.00015000,26.210,75.862,15.217,41.304,19.118,20.000,0.727950,0.765734,0.847777,0.682633,0.694417,0.733212,0.681711
51,0.860126,64.167,1.434381,48.500,0.00013823,26.197,77.011,15.217,18.478,50.000,10.000,0.733324,0.768085,0.837962,0.680668,0.692194,0.777507,0.678289
52,0.851553,67.333,1.525598,50.250,0.00012653,26.225,85.057,8.696,21.739,39.706,10.000,0.734704,0.769483,0.833562,0.706829,0.701193,0.772723,0.659211
53,0.812485,67.750,1.549231,49.500,0.00011498,26.210,79.885,26.087,32.609,19.118,20.000,0.716999,0.754380,0.830358,0.693994,0.684253,0.726391,0.650000
54,0.816711,66.833,1.451042,52.500,0.00010365,26.159,77.011,21.739,33.696,48.529,10.000,0.748028,0.784255,0.849863,0.736244,0.699393,0.802534,0.652105
55,0.799925,68.917,1.457990,51.500,0.00009260,26.181,80.460,28.261,26.087,36.765,20.000,0.743188,0.774557,0.848413,0.725620,0.690359,0.755758,0.695789
56,0.771403,69.000,1.524537,51.000,0.00008190,26.260,78.161,19.565,32.609,36.765,20.000,0.731122,0.770195,0.850778,0.710636,0.680724,0.759523,0.653947
57,0.755936,69.083,1.644408,48.750,0.00007163,26.172,78.736,4.348,20.652,50.000,15.000,0.730681,0.771444,0.853041,0.697249,0.682630,0.767984,0.652500
58,0.762620,67.667,1.591133,49.750,0.00006183,26.345,81.609,19.565,30.435,25.000,15.000,0.723200,0.760407,0.832494,0.692275,0.690323,0.748671,0.652237
59,0.718041,70.083,1.560393,50.500,0.00005258,26.152,77.011,13.043,36.957,38.235,10.000,0.731604,0.773088,0.846735,0.710022,0.692300,0.778570,0.630395
60,0.716924,70.583,1.535540,53.000,0.00004393,26.080,79.310,21.739,38.043,38.235,15.000,0.737057,0.774083,0.845336,0.711619,0.693499,0.777330,0.657500
61,0.717177,71.750,1.594567,48.000,0.00003594,26.088,78.736,4.348,33.696,29.412,10.000,0.729815,0.765668,0.833613,0.710268,0.695335,0.757884,0.651974
62,0.686830,72.917,1.594647,49.000,0.00002865,26.113,79.310,8.696,33.696,30.882,10.000,0.725994,0.767069,0.845336,0.712601,0.687112,0.750974,0.633947
63,0.666108,73.667,1.586557,49.750,0.00002210,26.136,79.885,10.870,31.522,35.294,10.000,0.728688,0.769515,0.840479,0.713093,0.692405,0.773122,0.624342
64,0.671968,72.250,1.567232,49.500,0.00001635,26.113,79.885,13.043,29.348,33.824,15.000,0.734149,0.772040,0.840886,0.714321,0.694876,0.777108,0.643553
65,0.668393,73.583,1.601311,49.500,0.00001142,26.170,79.885,8.696,34.783,29.412,15.000,0.732077,0.770237,0.838699,0.709592,0.702922,0.763909,0.645263
66,0.662682,74.417,1.587085,50.750,0.00000734,26.182,79.310,10.870,35.870,35.294,15.000,0.733484,0.770492,0.838419,0.714259,0.697487,0.769623,0.647632
67,0.655426,74.000,1.564955,50.500,0.00000414,26.208,79.310,10.870,34.783,35.294,15.000,0.733421,0.770859,0.838546,0.715733,0.698193,0.770553,0.644079
68,0.636701,74.917,1.563168,50.250,0.00000185,26.203,79.310,13.043,34.783,32.353,15.000,0.733153,0.770531,0.837555,0.715610,0.701828,0.766168,0.644605
69,0.649977,73.250,1.574828,50.500,0.00000046,26.313,79.310,15.217,33.696,33.824,15.000,0.733330,0.770795,0.836741,0.713645,0.702640,0.770464,0.643158
70,0.646213,73.917,1.569574,50.750,0.00030000,26.106,79.310,13.043,35.870,33.824,15.000,0.734047,0.771270,0.836614,0.712479,0.704087,0.771793,0.645263
71,0.835899,66.833,2.294755,48.250,0.00029988,26.250,72.414,10.870,11.957,64.706,35.000,0.714135,0.738607,0.835902,0.755343,0.560806,0.735073,0.683553
72,0.926242,62.167,1.568411,46.750,0.00029954,26.231,71.264,8.696,45.652,16.176,30.000,0.727249,0.761892,0.856780,0.673974,0.652103,0.741938,0.711447
73,0.874972,65.167,1.459520,47.750,0.00029896,26.157,86.207,28.261,10.870,20.588,20.000,0.737162,0.766200,0.840784,0.698538,0.683477,0.748140,0.714868
74,0.812200,65.500,1.485520,55.000,0.00029815,26.268,85.057,32.609,18.478,57.353,5.000,0.772893,0.796971,0.855228,0.707873,0.726743,0.813829,0.760789
75,0.778757,69.417,1.663435,46.250,0.00029712,26.679,69.540,6.522,47.826,13.235,40.000,0.719552,0.747377,0.840174,0.669184,0.622918,0.736667,0.728816
76,0.795207,68.167,1.508399,53.250,0.00029586,25.842,81.034,15.217,33.696,48.529,5.000,0.748770,0.780399,0.841420,0.675878,0.696570,0.832876,0.697105
77,0.771946,69.000,1.827960,50.500,0.00029437,25.935,78.736,4.348,19.565,63.235,10.000,0.740956,0.770060,0.840377,0.686195,0.671372,0.798547,0.708289
78,0.779221,70.000,1.571454,48.250,0.00029266,25.977,75.862,15.217,34.783,20.588,40.000,0.758617,0.784071,0.855737,0.716347,0.695829,0.776223,0.748947
79,0.748911,69.750,1.393569,54.250,0.00029073,26.006,83.908,10.870,32.609,50.000,10.000,0.749828,0.782949,0.862298,0.684598,0.685912,0.796200,0.720132
80,0.697142,71.333,1.532602,50.750,0.00028858,26.390,79.885,8.696,40.217,26.471,25.000,0.761795,0.789700,0.847599,0.731209,0.727343,0.787296,0.715526
81,0.678539,72.667,1.565069,52.750,0.00028622,25.931,77.011,13.043,39.130,47.059,15.000,0.748008,0.784018,0.852863,0.693748,0.715627,0.789644,0.688158
82,0.706513,71.083,1.598393,48.000,0.00028365,27.425,74.713,21.739,32.609,25.000,25.000,0.738790,0.760351,0.828400,0.696082,0.661420,0.770154,0.737895
83,0.668570,74.000,1.492445,53.500,0.00028087,25.976,75.862,32.609,43.478,35.294,15.000,0.761870,0.783020,0.847701,0.715058,0.709945,0.765990,0.770658
84,0.663304,71.917,1.592472,53.500,0.00027790,25.641,77.011,19.565,28.261,61.765,15.000,0.760439,0.790481,0.853270,0.730717,0.706698,0.809665,0.701842
85,0.639256,74.750,1.513052,52.500,0.00027472,25.658,83.908,2.174,39.130,32.353,25.000,0.773431,0.794905,0.853270,0.732805,0.720391,0.797794,0.762895
86,0.631338,74.750,1.670489,49.750,0.00027135,25.660,81.034,6.522,31.522,33.824,15.000,0.735269,0.771437,0.836232,0.683125,0.697487,0.797661,0.661842
87,0.642248,73.500,1.576464,52.000,0.00026780,25.637,78.161,26.087,33.696,35.294,25.000,0.762100,0.780323,0.839742,0.741280,0.695405,0.776178,0.757895
88,0.620621,74.667,1.634274,49.250,0.00026406,25.751,72.989,2.174,53.261,20.588,30.000,0.748164,0.785743,0.851719,0.671211,0.734190,0.791726,0.691974
89,0.600489,75.250,1.606002,52.750,0.00026015,25.650,83.333,8.696,35.870,39.706,10.000,0.759669,0.786948,0.838648,0.699767,0.725720,0.816974,0.717237
90,0.587967,77.083,1.689466,51.750,0.00025607,25.674,81.609,19.565,32.609,27.941,35.000,0.740161,0.778472,0.854033,0.698600,0.701793,0.774141,0.672237
91,0.537740,77.583,1.728138,51.000,0.00025182,25.688,71.264,15.217,34.783,52.941,25.000,0.759378,0.781197,0.834986,0.724761,0.708604,0.793542,0.735000
92,0.550098,78.083,1.666913,53.500,0.00024742,26.120,78.736,30.435,33.696,36.765,35.000,0.754180,0.784549,0.854745,0.724699,0.719191,0.753056,0.719211
93,0.564668,77.667,1.686587,52.250,0.00024286,25.708,74.713,4.348,50.000,41.176,15.000,0.760806,0.784635,0.844065,0.697740,0.706345,0.808115,0.747763
94,0.512958,79.833,1.741686,52.000,0.00023817,25.669,81.034,17.391,30.435,38.235,25.000,0.757009,0.788723,0.854898,0.686011,0.727026,0.790663,0.726447
95,0.500058,80.333,1.685203,54.500,0.00023334,25.683,77.011,17.391,48.913,38.235,25.000,0.773518,0.798863,0.865731,0.720769,0.712486,0.809001,0.759605
96,0.469322,81.833,1.782122,47.250,0.00022837,25.743,80.460,6.522,20.652,32.353,25.000,0.747062,0.769921,0.830256,0.685949,0.697558,0.777994,0.743553
97,0.500130,80.583,1.776874,54.000,0.00022329,26.208,77.586,13.043,46.739,41.176,20.000,0.766097,0.798284,0.866341,0.691415,0.719156,0.823574,0.730000
98,0.460902,80.250,1.854924,54.000,0.00021810,26.114,75.862,34.783,32.609,47.059,30.000,0.769379,0.798313,0.858916,0.721506,0.710615,0.837305,0.718553
99,0.478027,80.750,1.730064,50.750,0.00021280,25.666,78.161,8.696,42.391,27.941,25.000,0.763852,0.789607,0.843327,0.683432,0.733554,0.812500,0.746447
100,0.417526,82.500,1.995038,48.500,0.00020740,25.687,77.586,13.043,35.870,17.647,40.000,0.757309,0.783970,0.850041,0.679993,0.715274,0.786898,0.754342
