epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
1,1.415318,43.833,1.430742,43.500,0.00029266,24.823,100.000,0.000,0.000,0.000,0.000,0.712004,0.743977,0.819779,0.616310,0.643210,0.787695,0.693026
2,1.254934,50.667,1.345788,43.500,0.00027135,23.130,100.000,0.000,0.000,0.000,0.000,0.721828,0.756754,0.836741,0.617109,0.657009,0.798148,0.700132
3,1.176301,51.750,1.202362,48.500,0.00023817,23.041,91.379,8.696,30.435,4.412,0.000,0.730061,0.763334,0.836690,0.651928,0.673772,0.791991,0.695921
4,1.152899,53.750,1.179335,51.750,0.00019635,23.040,91.379,17.391,31.522,16.176,0.000,0.744837,0.775188,0.848769,0.676984,0.693464,0.778127,0.726842
5,1.127440,53.167,1.168528,54.500,0.00015000,22.895,85.632,26.087,43.478,25.000,0.000,0.749213,0.779507,0.848261,0.679808,0.711180,0.778526,0.728289
6,1.123046,53.583,1.170173,53.500,0.00010365,22.721,79.885,15.217,48.913,32.353,5.000,0.749480,0.780208,0.848947,0.671272,0.711921,0.785126,0.730132
7,1.123972,52.500,1.168167,54.750,0.00006183,22.483,78.161,15.217,45.652,48.529,5.000,0.751370,0.781371,0.847447,0.682326,0.720497,0.776843,0.729737
8,1.109384,52.667,1.171391,55.750,0.00002865,22.504,78.161,10.870,55.435,42.647,10.000,0.749968,0.781034,0.847498,0.678457,0.720709,0.778570,0.724605
9,1.102314,53.167,1.171253,55.750,0.00000734,22.753,78.161,10.870,57.609,41.176,5.000,0.751678,0.782684,0.848769,0.679010,0.723073,0.780829,0.726711
10,1.105410,54.333,1.169610,55.500,0.00030000,22.891,78.736,10.870,56.522,39.706,5.000,0.752729,0.783298,0.849100,0.678212,0.723602,0.782335,0.730395
11,1.106295,53.583,1.191021,56.000,0.00029815,23.040,76.437,17.391,53.261,45.588,15.000,0.747141,0.780772,0.856169,0.662675,0.715203,0.771262,0.730395
12,1.132899,52.833,1.187881,56.500,0.00029266,23.422,78.161,23.913,57.609,38.235,0.000,0.746181,0.780155,0.849761,0.671518,0.722826,0.772457,0.714342
13,1.107539,54.750,1.223222,55.250,0.00028365,23.551,74.713,15.217,53.261,50.000,5.000,0.745368,0.779093,0.849990,0.680300,0.710792,0.777861,0.707895
14,1.108197,54.667,1.216303,53.750,0.00027135,23.351,77.586,19.565,46.739,38.235,10.000,0.749755,0.777223,0.843251,0.674589,0.705675,0.785524,0.739737
15,1.087717,55.167,1.243091,54.250,0.00025607,23.472,79.885,23.913,42.391,38.235,10.000,0.743055,0.775634,0.843760,0.656780,0.723955,0.766832,0.723947
16,1.114481,53.583,1.181430,56.750,0.00023817,22.661,81.609,19.565,63.043,25.000,5.000,0.757327,0.787957,0.855584,0.680545,0.739342,0.765902,0.745263
17,1.097371,54.083,1.219519,52.500,0.00021810,23.223,76.437,13.043,29.348,61.765,10.000,0.743886,0.777417,0.851694,0.676615,0.700840,0.778437,0.711842
18,1.085557,53.500,1.200199,55.000,0.00019635,22.922,75.862,28.261,51.087,38.235,10.000,0.745890,0.776826,0.848566,0.671211,0.708816,0.770331,0.730526
19,1.095603,55.500,1.212852,55.250,0.00017347,23.437,75.862,13.043,63.043,33.824,10.000,0.749114,0.780077,0.850320,0.668448,0.721273,0.767895,0.737632
20,1.072023,55.167,1.226432,53.500,0.00015000,23.159,74.713,21.739,38.043,57.353,0.000,0.740798,0.773396,0.847498,0.665500,0.696958,0.776665,0.717368
21,1.056964,56.083,1.229743,55.000,0.00012653,22.670,76.437,30.435,47.826,39.706,10.000,0.745072,0.778786,0.853041,0.657639,0.706663,0.784594,0.723421
22,1.046214,56.417,1.220802,55.000,0.00010365,22.704,77.011,26.087,54.348,32.353,10.000,0.753083,0.783211,0.850575,0.675448,0.727555,0.771704,0.740132
23,1.076571,55.500,1.235321,54.000,0.00008190,22.700,79.310,23.913,45.652,33.824,10.000,0.752421,0.782142,0.854694,0.659236,0.713439,0.780918,0.753816
24,1.054478,55.500,1.212330,55.000,0.00006183,22.669,75.862,19.565,51.087,44.118,10.000,0.747653,0.782124,0.856271,0.660157,0.710615,0.789378,0.721842
25,1.049136,55.750,1.235561,54.250,0.00004393,22.794,75.862,21.739,50.000,41.176,5.000,0.742332,0.775141,0.848388,0.665500,0.704334,0.774096,0.719342
26,1.037220,56.333,1.226529,55.750,0.00002865,22.782,75.287,30.435,53.261,39.706,10.000,0.747079,0.778551,0.851032,0.661877,0.708110,0.780431,0.733947
27,1.043781,56.083,1.244916,55.000,0.00001635,22.687,74.713,28.261,48.913,44.118,10.000,0.743160,0.777148,0.850295,0.654999,0.707722,0.783575,0.719211
28,1.039540,56.583,1.236631,55.000,0.00000734,22.696,75.287,28.261,51.087,39.706,10.000,0.746055,0.779211,0.851719,0.658990,0.708992,0.786100,0.724474
29,1.036222,57.417,1.228987,55.250,0.00000185,23.217,75.287,26.087,52.174,41.176,10.000,0.747185,0.779430,0.851414,0.663535,0.708216,0.785259,0.727500
30,1.056675,56.833,1.234881,55.750,0.00030000,23.286,75.287,26.087,54.348,41.176,10.000,0.746755,0.779413,0.851134,0.661508,0.711286,0.783398,0.726447
31,1.075036,55.083,1.318749,49.250,0.00029954,23.316,74.713,17.391,11.957,67.647,10.000,0.729553,0.764642,0.843505,0.660587,0.676913,0.772679,0.694079
32,1.073699,55.167,1.235799,56.500,0.00029815,23.263,78.736,10.870,71.739,23.529,10.000,0.744645,0.777310,0.844955,0.665438,0.725967,0.765946,0.720921
33,1.075520,53.333,1.250302,54.500,0.00029586,23.327,78.161,21.739,38.043,54.412,0.000,0.740229,0.780567,0.853575,0.678273,0.714392,0.785037,0.669868
34,1.059048,54.167,1.269473,52.000,0.00029266,23.322,79.885,17.391,50.000,19.118,10.000,0.739674,0.766976,0.836639,0.651007,0.695299,0.770686,0.744737
35,1.070321,55.500,1.241870,57.250,0.00028858,23.354,77.011,19.565,50.000,55.882,10.000,0.750099,0.782975,0.852787,0.682265,0.725261,0.768604,0.721579
36,1.042163,54.750,1.265916,49.500,0.00028365,23.309,81.609,17.391,43.478,7.353,15.000,0.735072,0.768128,0.846379,0.636576,0.682136,0.786189,0.724079
37,1.031453,56.667,1.317126,54.000,0.00027790,23.305,75.287,23.913,51.087,39.706,0.000,0.734833,0.766192,0.833562,0.667342,0.715415,0.745083,0.712763
