epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
1,1.415288,43.833,1.433066,43.500,0.00029266,24.495,100.000,0.000,0.000,0.000,0.000,0.711984,0.744232,0.820262,0.615267,0.643845,0.787916,0.692632
2,1.254953,50.667,1.347148,43.500,0.00027135,22.486,100.000,0.000,0.000,0.000,0.000,0.721958,0.756858,0.836868,0.617662,0.657115,0.797883,0.700263
3,1.176304,51.750,1.202795,48.500,0.00023817,23.045,91.379,6.522,31.522,4.412,0.000,0.729890,0.763177,0.836741,0.652051,0.673454,0.791283,0.695921
4,1.152889,53.833,1.179506,52.000,0.00019635,23.199,91.379,17.391,32.609,16.176,0.000,0.744649,0.775065,0.848744,0.676861,0.693288,0.777906,0.726447
5,1.127442,53.167,1.168323,54.250,0.00015000,23.164,85.632,23.913,43.478,25.000,0.000,0.748975,0.779305,0.848057,0.680054,0.711004,0.778127,0.727632
6,1.123033,53.583,1.170139,53.750,0.00010365,23.131,79.885,15.217,48.913,33.824,5.000,0.749629,0.780331,0.849023,0.671579,0.712062,0.785214,0.730263
7,1.123940,52.500,1.168450,54.750,0.00006183,23.174,78.161,15.217,45.652,48.529,5.000,0.751554,0.781463,0.847294,0.682756,0.720744,0.777108,0.729868
8,1.109371,52.667,1.171596,55.500,0.00002865,23.319,78.161,10.870,54.348,42.647,10.000,0.749947,0.780985,0.847421,0.678703,0.720744,0.778260,0.724605
9,1.102295,53.167,1.171390,55.750,0.00000734,23.254,78.161,10.870,57.609,41.176,5.000,0.751852,0.782789,0.848795,0.679379,0.723108,0.781006,0.726974
10,1.105409,54.333,1.169651,55.750,0.00030000,23.286,78.736,10.870,56.522,41.176,5.000,0.752701,0.783309,0.849100,0.678273,0.723708,0.782291,0.730132
11,1.106323,53.583,1.192120,55.500,0.00029815,23.258,76.437,17.391,50.000,47.059,15.000,0.746943,0.780581,0.856144,0.663166,0.714321,0.771217,0.729868
12,1.132874,52.833,1.187887,57.000,0.00029266,23.260,78.161,23.913,59.783,38.235,0.000,0.746031,0.780001,0.849710,0.671457,0.722544,0.772103,0.714342
13,1.107531,54.750,1.224118,55.000,0.00028365,23.235,74.713,15.217,52.174,50.000,5.000,0.744985,0.778797,0.849939,0.680115,0.710263,0.777241,0.707368
14,1.108209,54.750,1.216239,54.000,0.00027135,23.322,77.586,19.565,47.826,38.235,10.000,0.749789,0.777256,0.843276,0.675080,0.705816,0.785170,0.739605
15,1.087684,55.167,1.242543,54.500,0.00025607,23.317,79.885,23.913,43.478,38.235,10.000,0.742895,0.775576,0.843912,0.657946,0.723285,0.766566,0.722763
16,1.114487,53.500,1.181396,57.000,0.00023817,23.279,81.609,19.565,64.130,25.000,5.000,0.756945,0.787601,0.855305,0.679870,0.739448,0.764839,0.745263
17,1.097414,54.167,1.219299,52.500,0.00021810,23.261,76.437,13.043,29.348,61.765,10.000,0.743773,0.777317,0.851465,0.676799,0.701158,0.777994,0.711447
18,1.085574,53.417,1.200851,55.500,0.00019635,23.281,75.862,30.435,53.261,36.765,10.000,0.745653,0.776511,0.848210,0.670843,0.709204,0.768958,0.731053
19,1.095572,55.333,1.212136,55.250,0.00017347,23.283,75.862,13.043,63.043,33.824,10.000,0.749289,0.780180,0.850270,0.668816,0.721838,0.767496,0.738026
20,1.072097,55.250,1.226170,53.250,0.00015000,23.337,74.713,21.739,38.043,55.882,0.000,0.740833,0.773482,0.847625,0.664947,0.697875,0.775824,0.717895
21,1.056898,56.250,1.230257,54.750,0.00012653,23.298,76.437,30.435,46.739,39.706,10.000,0.745162,0.778771,0.852813,0.657701,0.707510,0.783708,0.724079
22,1.046151,56.250,1.221338,55.000,0.00010365,23.310,77.011,26.087,54.348,32.353,10.000,0.753120,0.783267,0.850676,0.675694,0.728014,0.770951,0.740263
23,1.076507,55.333,1.235443,54.500,0.00008190,23.360,79.885,23.913,46.739,33.824,10.000,0.752364,0.782114,0.854694,0.659236,0.713509,0.780696,0.753684
24,1.054463,55.500,1.212803,55.000,0.00006183,23.279,75.862,19.565,51.087,44.118,10.000,0.747241,0.781956,0.856500,0.659789,0.710192,0.788935,0.720789
25,1.049032,55.833,1.236086,54.500,0.00004393,23.303,75.862,21.739,50.000,41.176,10.000,0.742508,0.775329,0.848235,0.666175,0.705216,0.774096,0.718816
26,1.037141,56.250,1.226969,55.750,0.00002865,23.296,75.287,30.435,53.261,39.706,10.000,0.747073,0.778490,0.850905,0.662798,0.707810,0.780298,0.733553
27,1.043659,55.917,1.245455,55.000,0.00001635,23.299,74.713,28.261,48.913,44.118,10.000,0.743299,0.777278,0.850320,0.655551,0.707792,0.783886,0.718947
28,1.039524,56.583,1.236613,55.000,0.00000734,23.299,75.287,28.261,51.087,39.706,10.000,0.746311,0.779437,0.851821,0.659052,0.709804,0.785879,0.725000
29,1.036121,57.333,1.228647,55.250,0.00000185,23.318,75.287,26.087,52.174,41.176,10.000,0.747446,0.779625,0.851465,0.664456,0.708639,0.785037,0.727632
30,1.056639,56.667,1.234803,55.750,0.00030000,23.301,75.287,26.087,54.348,41.176,10.000,0.746897,0.779562,0.851058,0.661877,0.711921,0.783443,0.726184
31,1.074955,55.083,1.322966,49.250,0.00029954,23.371,74.713,21.739,8.696,69.118,10.000,0.729046,0.764622,0.844395,0.661692,0.675325,0.772502,0.691316
32,1.073634,55.167,1.235542,56.500,0.00029815,23.266,78.736,10.870,71.739,23.529,10.000,0.744568,0.777459,0.845209,0.666360,0.725049,0.767408,0.718816
33,1.075715,53.500,1.250607,54.500,0.00029586,23.348,78.736,21.739,36.957,54.412,0.000,0.739986,0.780395,0.853270,0.678887,0.714003,0.785347,0.668421
