model_name,accuracy,highlight,ci_lower,ci_upper,n_samples
IdenGate (Ours),71.6,green,71.19,72.0,47280
SwinTrans-T,67.0,none,66.57,67.42,47280
ConvNeXt-T,67.2,none,66.78,67.62,47280
MedViT V1-T,67.3,none,66.88,67.72,47280
Google AutoML,67.3,none,66.88,67.72,47280
AutoKeras,70.3,blue,69.89,70.71,47280
auto-sklearn,53.2,none,52.75,53.65,47280
ResNet-50,68.0,none,67.58,68.42,47280
ResNet-18,68.1,none,67.68,68.52,47280
